Date,D0,D1,D2,Value
1989-05,A,M,R,4.2
1989-05,A,U,WMF,505.329
1989-05,A,U,N,20.1
1989-05,A,U,R,10
1989-05,A,P,WMF,333.459
1989-05,A,P,N,0.9
1989-05,A,P,R,-2.1
1989-05,A,TBS1,WMF,384.795
1989-05,A,TBS1,N,4.7
1989-05,A,TBS1,R,-1.4
1989-05,H,T,WMF,-1334.851
1989-06,E,T,WMF,7917.912
1989-06,E,T,N,23.1
1989-06,E,T,R,14.9
1989-06,E,MAE,WMF,1780.023
1989-06,E,MAE,N,26
1989-06,E,MAE,R,16.6
1989-06,E,PUB,WMF,499.904
1989-06,E,PUB,N,30.3
1989-06,E,PUB,R,32.1
1989-06,E,C,WMF,965.382
1989-06,E,C,N,23.6
1989-06,E,C,R,17.5
1989-06,E,TBS0,WMF,679.063
1989-06,E,TBS0,N,5.6
1989-06,E,TBS0,R,4.1
1989-06,E,F,WMF,919.894
1989-06,E,F,N,19.2
1989-06,E,F,R,13.2
1989-06,A,T,WMF,7084.128
1989-06,A,T,N,24.2
1989-06,A,T,R,14.9
1989-06,A,MAE,WMF,2231.536
1989-06,A,MAE,N,21.1
1989-06,A,MAE,R,14.5
1989-06,A,C,WMF,1569.317
1989-06,A,C,N,18.7
1989-06,A,C,R,5.4
1989-06,A,M,WMF,710.102
1989-06,A,M,N,32.3
1989-06,A,M,R,22.6
1989-06,A,U,WMF,561.467
1989-06,A,U,N,33.4
1989-06,A,U,R,19.4
1989-06,A,P,WMF,403.021
1989-06,A,P,N,22
1989-06,A,P,R,14.9
1989-06,A,TBS1,WMF,450.146
1989-06,A,TBS1,N,22.5
1989-06,A,TBS1,R,15.1
1989-06,H,T,WMF,-833.784
1989-07,E,T,WMF,7092.86
1989-07,E,T,N,10.3
1989-07,E,T,R,0.8
1989-07,E,MAE,WMF,1515.56
1989-07,E,MAE,N,7.3
1989-07,E,MAE,R,0.5
1989-07,E,PUB,WMF,503.251
1989-07,E,PUB,N,31.1
1989-07,E,PUB,R,9.3
1989-07,E,C,WMF,882.818
1989-07,E,C,N,13
1989-07,E,C,R,3.4
1989-07,E,TBS0,WMF,771.089
1989-07,E,TBS0,N,19.9
1989-07,E,TBS0,R,10.9
1989-07,E,F,WMF,774.806
1989-07,E,F,N,0.4
1989-07,E,F,R,-7.4
1989-07,A,T,WMF,6348.858
1989-07,A,T,N,11.3
1989-07,A,T,R,3.1
1989-07,A,MAE,WMF,2087.428
1989-07,A,MAE,N,13.3
1989-07,A,MAE,R,6.3
1989-07,A,C,WMF,1418.075
1989-07,A,C,N,7.3
1989-07,A,C,R,-3.6
1989-07,A,M,WMF,616.736
1989-07,A,M,N,14.9
1989-07,A,M,R,5.2
1989-07,A,U,WMF,560.268
1989-07,A,U,N,33.1
1989-07,A,U,R,19.3
1989-07,A,P,WMF,345.924
1989-07,A,P,N,4.7
1989-07,A,P,R,3.8
1989-07,A,TBS1,WMF,365.019
1989-07,A,TBS1,N,-0.7
1989-07,A,TBS1,R,-7.4
1989-07,H,T,WMF,-744.002
1989-08,E,T,WMF,6467.865
1989-08,E,T,N,0.6
1989-08,E,T,R,-7.5
1989-08,E,MAE,WMF,1403.508
1989-08,E,MAE,N,-0.6
1989-08,E,MAE,R,-7.2
1989-08,E,PUB,WMF,378.424
1989-08,E,PUB,N,-1.4
1989-08,E,PUB,R,-12.4
1989-08,E,C,WMF,806.538
1989-08,E,C,N,3.2
1989-08,E,C,R,-3
1989-08,E,TBS0,WMF,762.231
1989-08,E,TBS0,N,18.5
1989-08,E,TBS0,R,9
1989-08,E,F,WMF,643.55
1989-08,E,F,N,-16.6
1989-08,E,F,R,-22.5
1989-08,A,T,WMF,4989.181
1989-08,A,T,N,-12.5
1989-08,A,T,R,-18.7
1989-08,A,MAE,WMF,1572.224
1989-08,A,MAE,N,-14.7
1989-08,A,MAE,R,-18.8
1989-08,A,C,WMF,1284.136
1989-08,A,C,N,-2.8
1989-08,A,C,R,-13.2
1989-08,A,M,WMF,463.596
