"CubeId";"ausshawarm"
"PublishingDate";"2017-09-21 09:00"

"Date";"D0";"D1";"D2";"Value"
"2002-03";"A";"MAE";"N";"-26.7"
"2002-03";"A";"MAE";"R";"-24.7"
"2002-03";"A";"C";"WMF";"3728.505"
"2002-03";"A";"C";"N";"-1.6"
"2002-03";"A";"C";"R";"-0.1"
"2002-03";"A";"M";"WMF";"843.889"
"2002-03";"A";"M";"N";"-17.4"
"2002-03";"A";"M";"R";"-14"
"2002-03";"A";"U";"WMF";"788.08"
"2002-03";"A";"U";"N";"-0.1"
"2002-03";"A";"U";"R";"1.9"
"2002-03";"A";"P";"WMF";"800.678"
"2002-03";"A";"P";"N";"2.2"
"2002-03";"A";"P";"R";"2.1"
"2002-03";"A";"TBS1";"WMF";"369.201"
