"CubeId";"devkum"
"PublishingDate";"2017-10-02 14:30"

"Date";"D0";"D1";"Value"
"2002-05";"M0";"CNY100";"19.18352174"
"2002-05";"M0";"HKD100";"20.35422"
"2002-05";"M0";"KRW100";"0.1258"
"2002-05";"M0";"MYR100";"41.7725"
"2002-05";"M0";"NZD1";"0.7334"
"2002-05";"M0";"SGD100";"88.1975"
"2002-05";"M0";"THB100";"3.7066"
"2002-05";"M0";"XDR1";"2.030073"
"2002-06";"M0";"EUR1";"1.4716"
"2002-06";"M0";"GBP1";"2.2844"
"2002-06";"M0";"DKK100";"19.7935"
"2002-06";"M0";"NOK100";"19.8525"
"2002-06";"M0";"CZK100";"4.8488"
"2002-06";"M0";"HUF100";"0.6058"
"2002-06";"M0";"PLN100";"38.2505"
"2002-06";"M0";"RUB100";"4.9"
"2002-06";"M0";"SEK100";"16.1385"
"2002-06";"M0";"TRY100";"0.000101"
"2002-06";"M0";"USD1";"1.5408"
"2002-06";"M0";"CAD1";"1.006"
"2002-06";"M0";"ARS100";"42.269"
"2002-06";"M0";"BRL100";"57.05"
"2002-06";"M0";"MXN100";"15.782"
"2002-06";"M0";"ZAR1";"0.1514"
"2002-06";"M0";"JPY100";"1.247915"
"2002-06";"M0";"AUD1";"0.8764"
"2002-06";"M0";"CNY100";"18.59635"
"2002-06";"M0";"HKD100";"19.7543"
"2002-06";"M0";"KRW100";"0.1261"
"2002-06";"M0";"MYR100";"40.544"
"2002-06";"M0";"NZD1";"0.7536"
"2002-06";"M0";"SGD100";"86.409"
"2002-06";"M0";"THB100";"3.6548"
"2002-06";"M0";"XDR1";"2.003384"
"2002-07";"M0";"EUR1";"1.4626"
"2002-07";"M0";"GBP1";"2.29"
"2002-07";"M0";"DKK100";"19.6826"
"2002-07";"M0";"NOK100";"19.7274"
"2002-07";"M0";"CZK100";"4.9211"
"2002-07";"M0";"HUF100";"0.5927"
"2002-07";"M0";"PLN100";"35.7648"
"2002-07";"M0";"RUB100";"4.6704"
"2002-07";"M0";"SEK100";"15.7717"
"2002-07";"M0";"TRY100";"0.000088"
"2002-07";"M0";"USD1";"1.474"
"2002-07";"M0";"CAD1";"0.9555"
"2002-07";"M0";"ARS100";"40.5265"
"2002-07";"M0";"BRL100";"50.5"
"2002-07";"M0";"MXN100";"15.0539"
"2002-07";"M0";"ZAR1";"0.1455"
"2002-07";"M0";"JPY100";"1.248217"
"2002-07";"M0";"AUD1";"0.8162"
"2002-07";"M0";"CNY100";"17.79626087"
"2002-07";"M0";"HKD100";"18.897057"
"2002-07";"M0";"KRW100";"0.1244"
"2002-07";"M0";"MYR100";"38.7843"
"2002-07";"M0";"NZD1";"0.7082"
"2002-07";"M0";"SGD100";"84.0426"
"2002-07";"M0";"THB100";"3.5736"
"2002-07";"M0";"XDR1";"1.96031"
"2002-08";"M0";"EUR1";"1.4639"
"2002-08";"M0";"GBP1";"2.2998"
"2002-08";"M0";"DKK100";"19.7038"
"2002-08";"M0";"NOK100";"19.6881"
"2002-08";"M0";"CZK100";"4.7469"
"2002-08";"M0";"HUF100";"0.5965"
"2002-08";"M0";"PLN100";"35.8714"
"2002-08";"M0";"RUB100";"4.7405"
"2002-08";"M0";"SEK100";"15.829"
"2002-08";"M0";"TRY100";"0.000091"
"2002-08";"M0";"USD1";"1.4977"
"2002-08";"M0";"CAD1";"0.9547"
"2002-08";"M0";"ARS100";"41.319"
"2002-08";"M0";"BRL100";"48.2095"
"2002-08";"M0";"MXN100";"15.2214"
"2002-08";"M0";"ZAR1";"0.141"
"2002-08";"M0";"JPY100";"1.257938"
"2002-08";"M0";"AUD1";"0.81109"
"2002-08";"M0";"CNY100";"18.08309091"
"2002-08";"M0";"HKD100";"19.200386"
"2002-08";"M0";"KRW100";"0.125"
"2002-08";"M0";"MYR100";"39.4067"
"2002-08";"M0";"NZD1";"0.6948"
"2002-08";"M0";"SGD100";"85.2819"
"2002-08";"M0";"THB100";"3.5477"
"2002-08";"M0";"XDR1";"1.978914"
"2002-09";"M0";"EUR1";"1.4651"
"2002-09";"M0";"GBP1";"2.323"
"2002-09";"M0";"DKK100";"19.7229"
"2002-09";"M0";"NOK100";"19.8938"
"2002-09";"M0";"CZK100";"4.8464"
"2002-09";"M0";"HUF100";"0.6005"
"2002-09";"M0";"PLN100";"35.9757"
"2002-09";"M0";"RUB100";"4.7171"
"2002-09";"M0";"SEK100";"15.9752"
"2002-09";"M0";"TRY100";"0.00009"
